Date,Close/Last,Volume,Open,High,Low
01/12/2022,$260.92,3043954,$263.37,$263.95,$260.28
01/11/2022,$262.12,3206162,$263.49,$263.95,$260.32
01/10/2022,$264.41,3122526,$266.715,$266.72,$262.01
01/07/2022,$267.06,2209088,$268.56,$270.17,$267.00
01/06/2022,$269.69,2908568,$268.12,$270.76,$267.80
01/05/2022,$267.19,2473043,$269.30,$270.28,$266.90
01/04/2022,$268.51,2506018,$269.50,$271.15,$268.27
01/03/2022,$268.58,2750906,$269.49,$270.73,$265.56
12/31/2021,$268.07,1519162,$268.00,$269.12,$267.21
12/30/2021,$267.21,1714555,$269.00,$269.255,$266.70
12/29/2021,$268.49,1318828,$268.45,$269.7198,$267.95
12/28/2021,$267.88,1303973,$267.58,$269.22,$267.25
12/27/2021,$268.24,1486007,$266.47,$268.26,$266.00
12/23/2021,$265.95,1509875,$265.92,$267.37,$265.45
12/22/2021,$264.94,1795157,$264.32,$265.44,$264.07
12/21/2021,$264.39,2851827,$264.29,$266.48,$263.42
12/20/2021,$261.73,2824534,$259.63,$261.96,$258.43
12/17/2021,$261.70,5967187,$264.00,$264.85,$260.88
12/16/2021,$265.55,2347749,$265.56,$266.89,$264.09
12/15/2021,$264.52,2641814,$262.16,$265.67,$261.41
12/14/2021,$262.52,3695552,$263.00,$263.59,$261.75
12/13/2021,$263.09,2878831,$264.22,$265.86,$262.40
12/10/2021,$264.97,2529819,$263.88,$265.27,$262.43
12/09/2021,$262.34,2955143,$259.50,$263.10,$258.36
12/08/2021,$259.58,3453106,$260.00,$262.81,$259.09
12/07/2021,$259.91,2596340,$256.95,$260.38,$256.445
12/06/2021,$255.79,3616912,$252.40,$256.93,$252.37
12/03/2021,$249.33,3229856,$250.32,$250.68,$247.57
12/02/2021,$248.80,3290454,$245.66,$250.34,$245.00
12/01/2021,$244.18,3275507,$245.76,$250.90,$244.11
11/30/2021,$244.60,3836063,$247.38,$247.90,$243.95
11/29/2021,$250.30,2084612,$251.85,$252.32,$249.83
11/26/2021,$250.01,2573259,$252.51,$253.16,$248.27
11/24/2021,$257.11,2642849,$254.50,$257.79,$254.05
11/23/2021,$255.65,2770596,$254.81,$255.79,$253.05
