Date,Close/Last,Volume,Open,High,Low
10/09/2023,33604.65,N/A,33259.84,33631.81,33253.69
10/06/2023,33407.58,N/A,33040.70,33557.69,32846.94
10/05/2023,33119.57,N/A,33099.23,33174.38,32941.56
10/04/2023,33129.55,N/A,33034.18,33156.45,32873.23
10/03/2023,33002.38,N/A,33318.84,33398.54,32916.20
10/02/2023,33433.35,N/A,33455.50,33511.91,33219.56
09/29/2023,33507.50,N/A,33882.61,33893.68,33407.45
09/28/2023,33666.34,N/A,33519.44,33777.90,33473.50
09/27/2023,33550.27,N/A,33682.81,33731.65,33306.30
09/26/2023,33618.88,N/A,33862.68,33879.93,33569.60
09/25/2023,34006.88,N/A,33907.59,34017.53,33780.67
09/22/2023,33963.84,N/A,34077.08,34156.15,33947.24
09/21/2023,34070.42,N/A,34332.23,34378.30,34058.72
09/20/2023,34440.88,N/A,34575.50,34776.28,34434.29
09/19/2023,34517.73,N/A,34571.84,34597.56,34311.69
09/18/2023,34624.30,N/A,34612.29,34725.06,34545.35
09/15/2023,34618.24,N/A,34902.04,34902.04,34572.27
09/14/2023,34907.11,N/A,34687.50,34977.97,34687.50
09/13/2023,34575.53,N/A,34667.28,34767.11,34509.95
09/12/2023,34645.99,N/A,34620.02,34852.61,34560.55
09/11/2023,34663.72,N/A,34650.01,34784.52,34578.59
09/08/2023,34576.59,N/A,34487.41,34627.85,34473.57
09/07/2023,34500.73,N/A,34351.18,34560.86,34351.18
09/06/2023,34443.19,N/A,34611.68,34611.68,34291.56
09/05/2023,34641.97,N/A,34843.22,34871.26,34635.63
09/01/2023,34837.71,N/A,34876.24,34979.18,34720.70
08/31/2023,34721.91,N/A,34909.09,35070.21,34719.77
08/30/2023,34890.24,N/A,34847.80,35025.57,34811.74
08/29/2023,34852.67,N/A,34531.12,34864.42,34531.12
08/28/2023,34559.98,N/A,34441.64,34652.91,34441.64
08/25/2023,34346.90,N/A,34217.06,34441.91,34029.22
08/24/2023,34099.42,N/A,34439.83,34694.68,34093.65
08/23/2023,34472.98,N/A,34338.59,34534.72,34321.00
08/22/2023,34288.83,N/A,34494.17,34514.04,34256.84
08/21/2023,34463.69,N/A,34531.28,34570.96,34248.46
08/18/2023,34500.66,N/A,34368.36,34587.07,34263.19
08/17/2023,34474.83,N/A,34829.61,34888.48,34440.73
08/16/2023,34765.74,N/A,34914.96,35133.56,34757.37
08/15/2023,34946.39,N/A,35219.37,35219.37,34908.50
08/14/2023,35307.63,N/A,35273.89,35335.45,35169.97
08/11/2023,35281.40,N/A,35111.36,35354.60,35059.99
08/10/2023,35176.15,N/A,35231.54,35578.58,35107.60
08/09/2023,35123.36,N/A,35324.28,35370.89,35058.73
08/08/2023,35314.49,N/A,35345.40,35346.64,35007.41
08/07/2023,35473.13,N/A,35125.60,35497.38,35125.60
08/04/2023,35065.62,N/A,35230.13,35506.88,35033.76
08/03/2023,35215.89,N/A,35194.56,35348.20,35122.32
08/02/2023,35282.52,N/A,35551.92,35551.92,35226.26
08/01/2023,35630.68,N/A,35585.99,35679.13,35526.61
07/31/2023,35559.53,N/A,35465.97,35566.95,35430.22
07/28/2023,35459.29,N/A,35443.49,35565.51,35355.15
07/27/2023,35282.72,N/A,35558.79,35645.35,35216.58
07/26/2023,35520.12,N/A,35345.99,35633.61,35306.27
07/25/2023,35438.07,N/A,35421.49,35527.57,35365.26
07/24/2023,35411.24,N/A,35230.79,35463.97,35230.79
07/21/2023,35227.69,N/A,35274.32,35340.66,35186.05
07/20/2023,35225.18,N/A,35091.98,35372.77,35091.98
07/19/2023,35061.21,N/A,34991.21,35234.05,34991.21
07/18/2023,34951.93,N/A,34597.08,34986.36,34530.61
07/17/2023,34585.35,N/A,34499.74,34665.15,34418.72
07/14/2023,34509.03,N/A,34425.33,34592.26,34425.33
07/13/2023,34395.14,N/A,34412.31,34482.26,34365.33
07/12/2023,34347.43,N/A,34395.28,34586.94,34308.78
07/11/2023,34261.42,N/A,34056.94,34288.87,33993.01
07/10/2023,33944.40,N/A,33705.68,33958.36,33705.68
07/07/2023,33734.88,N/A,33837.07,34036.38,33716.75
07/06/2023,33922.26,N/A,34171.39,34171.39,33771.47
07/05/2023,34288.64,N/A,34344.72,34376.11,34226.98
07/03/2023,34418.47,N/A,34369.78,34465.60,34286.54
06/30/2023,34407.60,N/A,34269.92,34467.35,34269.92
06/29/2023,34122.42,N/A,33854.57,34147.68,33828.63
06/28/2023,33852.66,N/A,33881.38,33903.76,33755.92
06/27/2023,33926.74,N/A,33739.03,33975.65,33730.39
06/26/2023,33714.71,N/A,33730.79,33819.49,33610.32
06/23/2023,33727.43,N/A,33835.66,33835.66,33646.49
06/22/2023,33946.71,N/A,33900.47,34003.56,33835.39
06/21/2023,33951.52,N/A,33990.56,34097.93,33876.17
06/20/2023,34053.87,N/A,34206.66,34206.66,33915.93
06/16/2023,34299.12,N/A,34464.02,34588.68,34285.69
06/15/2023,34408.06,N/A,33945.98,34488.98,33945.98
06/14/2023,33979.33,N/A,34044.70,34151.42,33783.55
06/13/2023,34212.12,N/A,34111.08,34310.28,34107.98
06/12/2023,34066.33,N/A,33906.80,34077.84,33878.46
06/09/2023,33876.78,N/A,33852.44,33975.32,33787.16
06/08/2023,33833.61,N/A,33656.98,33873.81,33630.04
06/07/2023,33665.02,N/A,33562.47,33708.78,33546.11
06/06/2023,33573.28,N/A,33547.67,33631.25,33399.69
06/05/2023,33562.86,N/A,33771.13,33804.22,33552.79
06/02/2023,33762.76,N/A,33187.58,33805.00,33187.58
06/01/2023,33061.57,N/A,32929.85,33167.75,32704.51
05/31/2023,32908.27,N/A,32948.71,32984.83,32739.73
05/30/2023,33042.78,N/A,33103.65,33132.70,32893.97
05/26/2023,33093.34,N/A,32795.50,33162.06,32795.50
05/25/2023,32764.65,N/A,32854.26,32870.43,32586.56
05/24/2023,32799.92,N/A,33021.76,33031.75,32752.44
05/23/2023,33055.51,N/A,33190.60,33310.17,33013.29
05/22/2023,33286.58,N/A,33408.54,33512.30,33207.85
05/19/2023,33426.63,N/A,33582.95,33652.90,33336.66
05/18/2023,33535.91,N/A,33374.56,33579.91,33212.09
05/17/2023,33420.77,N/A,33092.48,33472.38,33050.41
05/16/2023,33012.14,N/A,33275.37,33290.85,33006.19
05/15/2023,33348.60,N/A,33321.21,33400.30,33161.93
05/12/2023,33300.62,N/A,33370.58,33406.40,33110.61
05/11/2023,33309.51,N/A,33383.89,33389.88,33127.70
05/10/2023,33531.33,N/A,33707.20,33772.09,33239.45
05/09/2023,33561.81,N/A,33589.85,33656.40,33509.72
05/08/2023,33618.69,N/A,33715.15,33747.49,33509.23
05/05/2023,33674.38,N/A,33248.55,33748.43,33248.55
05/04/2023,33127.74,N/A,33347.78,33354.86,32937.50
05/03/2023,33414.24,N/A,33726.64,33811.84,33396.05
05/02/2023,33684.53,N/A,34017.62,34017.75,33436.66
05/01/2023,34051.70,N/A,34116.81,34257.83,34030.14
04/28/2023,34098.16,N/A,33797.43,34104.56,33728.40
04/27/2023,33826.16,N/A,33381.66,33859.75,33374.65
04/26/2023,33301.87,N/A,33596.34,33645.83,33235.85
04/25/2023,33530.83,N/A,33828.34,33875.49,33525.39
04/24/2023,33875.40,N/A,33805.04,33891.15,33726.09
04/21/2023,33808.96,N/A,33793.60,33858.83,33688.57
04/20/2023,33786.62,N/A,33740.60,33875.39,33677.74
04/19/2023,33897.01,N/A,33889.83,33957.98,33814.65
04/18/2023,33976.63,N/A,33965.16,34018.62,33791.89
04/17/2023,33987.18,N/A,33930.46,33991.23,33796.91
04/14/2023,33646.50,N/A,33646.50,33646.50,33646.50
04/13/2023,33646.50,N/A,33646.50,33646.50,33646.50
04/12/2023,33646.50,N/A,33764.21,33895.43,33593.32
04/11/2023,33684.79,N/A,33586.75,33781.29,33586.75
04/10/2023,33586.52,N/A,33425.25,33590.24,33343.43
04/06/2023,33485.29,N/A,33420.96,33525.96,33325.37
04/05/2023,33482.72,N/A,33394.60,33543.84,33376.27
04/04/2023,33402.38,N/A,33594.79,33634.72,33275.62
04/03/2023,33601.15,N/A,33245.78,33632.90,33245.78
03/31/2023,33274.15,N/A,32901.96,33291.00,32901.96
03/30/2023,32859.03,N/A,32807.43,32905.80,32682.87
03/29/2023,32717.60,N/A,32566.54,32728.04,32539.94
03/28/2023,32394.25,N/A,32434.85,32551.01,32295.50
03/27/2023,32432.08,N/A,32276.72,32564.00,32276.72
03/24/2023,32237.53,N/A,32038.22,32257.24,31805.18
03/23/2023,32105.25,N/A,32101.49,32511.49,31864.74
03/22/2023,32030.11,N/A,32570.19,32761.89,32020.46
03/21/2023,32560.60,N/A,32420.71,32593.68,32346.12
03/20/2023,32244.58,N/A,31872.33,32280.07,31872.33
03/17/2023,31861.98,N/A,32217.32,32217.32,31728.70
03/16/2023,32246.55,N/A,31827.65,32281.61,31571.46
03/15/2023,31874.57,N/A,31759.87,31906.47,31429.82
